pejabat_id,jabatan_id,posisi,wilayah,provinsi,placeholder_saat_ini,nama_baru,sumber_url,catatan
2d879d03-a325-4566-8af9-cc2e7398aeb1,86a4ea67-56fd-4ecf-9f4c-c6da24053c78,Bupati,Kabupaten Maluku Tenggara Barat,Maluku,Bupati Kabupaten Maluku Tenggara Barat,,,
c63797dd-772e-4908-86ba-5a09222d87b2,7ed953e0-b6fb-42a0-a4c2-663fb56acfcf,Bupati,Kabupaten Mamuju Utara,Sulawesi Barat,Bupati Kabupaten Mamuju Utara,,,
edd69584-0abe-4b56-ba2e-30dacadeb957,c4715133-99a4-4daf-8061-37d6eb88be7a,Bupati,Kabupaten Luwu,Sulawesi Selatan,Bupati Kabupaten Luwu,,,
5f484fbb-6f1e-485a-b5a5-637306bf1184,37ab99e8-ca99-4bc2-944c-9595e857391c,Bupati,Kabupaten Banggai Laut,Sulawesi Tengah,Bupati Kabupaten Banggai Laut,,,
8ba63211-0525-42fa-8ce4-c7c0001c7e21,fc6587ef-9fd1-4c44-90ac-b4b41e57492d,Wakil Bupati,Kabupaten Nagan Raya,Aceh,Wakil Bupati Kabupaten Nagan Raya,,,
c9dcd2ff-f661-4f03-a105-17d332f7c900,76c7bad1-ab76-4b75-a928-831799985bf5,Wakil Walikota,Kota Sabang,Aceh,Wakil Walikota Kota Sabang,,,
faa5d1d9-d666-4640-9e15-e6a2ca633da8,b2a1c422-b65c-49af-b88c-b5104ad13201,Wakil Bupati,Kabupaten Bangli,Bali,Wakil Bupati Kabupaten Bangli,,,
7dc827b5-7e62-4618-a779-e6fb4901227a,d244702d-3dcf-435b-a6ec-275c80080923,Wakil Bupati,Kabupaten Kepulauan Seribu,DKI Jakarta,Wakil Bupati Kabupaten Kepulauan Seribu,,,
1f89c4fb-1c82-4256-b018-2be1c363091f,4cb9d9cd-e9be-4e96-977b-f26513b8fa57,Wakil Wali Kota Administrasi Jakarta Barat,Kota Jakarta Barat,DKI Jakarta,Wakil Wali Kota Administrasi Jakarta Barat Kota Jakarta Barat,,,
af1047e2-e956-4a20-9b75-269641c88b59,3a5107b0-a535-4f79-aca9-9e107d8d1a37,Wakil Bupati,Kabupaten Tebo,Jambi,Wakil Bupati Kabupaten Tebo,,,
c47ed55e-459d-4941-8010-7c956ae5b86b,1870d7ce-3d68-4193-ad3c-dcae64541a31,Wakil Bupati,Kabupaten Ciamis,Jawa Barat,Wakil Bupati Kabupaten Ciamis,,,
eb0f182e-6d54-4e0b-a8fd-a223e54e0ac7,ecac8272-86f0-4f45-9824-5a95fda5747c,Wakil Bupati,Kabupaten Brebes,Jawa Tengah,Wakil Bupati Kabupaten Brebes,,,
3f3499f7-c75d-4498-bb74-56b5e6ee3903,2bcc6403-0fed-4f33-a1ef-46ebe94bebb4,Wakil Bupati,Kabupaten Purworejo,Jawa Tengah,Wakil Bupati Kabupaten Purworejo,,,
cd0a6e7f-0316-42f9-895d-88c2fef7253c,3dc58d43-8bfb-4a3f-9f28-f8ea6130e103,Wakil Bupati,Kabupaten Jombang,Jawa Timur,Wakil Bupati Kabupaten Jombang,,,
cb412c90-20b3-443b-bbb7-ea4cdca112e2,3cd5e525-8dac-4818-a2c4-3acaeed57749,Wakil Bupati,Kabupaten Lamongan,Jawa Timur,Wakil Bupati Kabupaten Lamongan,,,
4a0313d2-0ef7-4c68-9196-fb239d53832a,69ae4cde-52d7-4c8d-b56e-817bcb30374c,Wakil Bupati,Kabupaten Tuban,Jawa Timur,Wakil Bupati Kabupaten Tuban,,,
a94e0893-977d-4c06-8581-014b80c742c1,f9b67c27-7cac-480d-917a-d8bfc600a7f6,Wakil Walikota,Kota Kediri,Jawa Timur,Wakil Walikota Kota Kediri,,,
88ba7a60-5740-4f73-86c5-a47d7bce3c64,13345670-a201-4a4b-bd87-f56332379f1d,Wakil Walikota,Kota Pasuruan,Jawa Timur,Wakil Walikota Kota Pasuruan,,,
2d377853-1576-40fc-b768-356df148e4be,5afb325f-6142-48c9-b30b-53deb0f67c1d,Wakil Gubernur,Kalimantan Selatan,Kalimantan Selatan,Wakil Gubernur Kalimantan Selatan,,,
10acea65-e214-4e20-aaac-60c7b9e0caf2,c50d5283-c67a-44ed-94cd-16843a414eba,Wakil Walikota,Kota Bontang,Kalimantan Timur,Wakil Walikota Kota Bontang,,,
3c711289-aa4c-447b-846f-49641b76e3fc,964bc68a-a9c8-496b-9099-e74fa8e84b55,Wakil Bupati,Kabupaten Malinau,Kalimantan Utara,Wakil Bupati Kabupaten Malinau,,,
11d93431-834f-418d-b8e5-e80b483f1d18,5a3c47a1-a4ce-4286-80e0-d3132b38ee59,Wakil Walikota,Kota Mataram,Nusa Tenggara Barat,Wakil Walikota Kota Mataram,,,
294bbb98-a719-4510-9f19-3f3a8e664b2d,6ce99a84-e446-4069-a192-391f448eac9f,Wakil Bupati,Kabupaten Sorong Selatan,Papua Barat Daya,Wakil Bupati Kabupaten Sorong Selatan,,,
238ffd50-3bf8-45f8-b96e-06d93315094a,50f1ba6c-0389-4956-ae15-dbf085da5cb8,Wakil Bupati,Kabupaten Kepulauan Meranti,Riau,Wakil Bupati Kabupaten Kepulauan Meranti,,,
1251c76f-7f7a-4158-a6ad-c75bdbc50c47,a8203e22-0174-4483-afac-8215d59b0ef8,Wakil Bupati,Kabupaten Tana Toraja,Sulawesi Selatan,Wakil Bupati Kabupaten Tana Toraja,,,
9f54cae6-f46c-45a0-bde3-e0e9a336e7a7,33f20607-1630-41c9-b51c-72aeb8742072,Wakil Bupati,Kabupaten Banggai Kepulauan,Sulawesi Tengah,Wakil Bupati Kabupaten Banggai Kepulauan,,,
b5487f67-839b-476a-9614-4074f0e76559,0dc1efb0-8e28-47af-8c52-ec9d7fdf37df,Wakil Bupati,Kabupaten Banggai Laut,Sulawesi Tengah,Wakil Bupati Kabupaten Banggai Laut,,,
cc71c7c5-1ac1-4e58-b586-b04022f9404a,8d40ba00-d9ee-49ca-9e71-87c905cb6e6c,Wakil Walikota,Kota Kendari,Sulawesi Tenggara,Wakil Walikota Kota Kendari,,,
b680e952-950d-4025-8e71-8de67bc3844a,369c5f7f-f388-4ae2-88b1-65d8eb8a5943,Wakil Bupati,Kabupaten Bolaang Mongondow Utara,Sulawesi Utara,Wakil Bupati Kabupaten Bolaang Mongondow Utara,,,
cc1eeb3d-d0fd-4b75-a6e9-447dd3e98d83,79cb5e37-ed7d-49ba-9975-23d2cc3dd20d,Wakil Bupati,Kabupaten Kepulauan Talaud,Sulawesi Utara,Wakil Bupati Kabupaten Kepulauan Talaud,,,
f9cdeedc-c9f4-4c94-ac8e-1cade3205cdd,c166faab-6fd9-4cfe-a0af-6c95701b9381,Wakil Bupati,Kabupaten Minahasa Tenggara,Sulawesi Utara,Wakil Bupati Kabupaten Minahasa Tenggara,,,
154b561a-ef38-4e4f-9f9b-adaa603cc511,3271beed-3eb1-41af-a81a-f5c6a37c0691,Wakil Bupati,Kabupaten Minahasa Utara,Sulawesi Utara,Wakil Bupati Kabupaten Minahasa Utara,,,
407a185d-9886-4cbc-b4eb-6f5b18e2d150,67785fcf-2adb-421c-88cd-fb12e32ef17b,Wakil Bupati,Kabupaten Kepulauan Mentawai,Sumatera Barat,Wakil Bupati Kabupaten Kepulauan Mentawai,,,
d74f7356-5ce5-4126-a980-7e218acb1ede,f856f604-c29c-4d2e-ae44-dda891ed6016,Wakil Bupati,Kabupaten Lima Puluh Kota,Sumatera Barat,Wakil Bupati Kabupaten Lima Puluh Kota,,,
0a78835c-2dae-4001-944c-d2ee4287c70f,a07f22cd-ba06-466a-ab70-bf9b05f28b3f,Wakil Bupati,Kabupaten Sijunjung,Sumatera Barat,Wakil Bupati Kabupaten Sijunjung,,,
7aecdcdb-d0ab-474b-b17f-00f22da6f788,64e11a7e-1cc7-4f3f-8658-dfd96f28d63d,Wakil Bupati,Kabupaten Solok Selatan,Sumatera Barat,Wakil Bupati Kabupaten Solok Selatan,,,
2b46a431-311a-4876-b6bb-8a36e4d94bee,79752571-3ff3-43f2-be83-b728efc50262,Wakil Bupati,Kabupaten Musi Rawas,Sumatera Selatan,Wakil Bupati Kabupaten Musi Rawas,,,
